,num_annotations,num_tp,num_fp,num_fn,precision,recall,fmeasure,mean_error,std_error
0,95,94,3,1,0.9690721649484536,0.9894736842105263,0.9791666666666666,-0.0026581270531915676,0.0035036189941804715
1,153,153,8,0,0.9503105590062112,1.0,0.9745222929936307,-0.0023985890849675616,0.004237288753922543
2,126,125,4,1,0.9689922480620154,0.9920634920634921,0.9803921568627451,-0.0018577778080000674,0.005061787874579749
3,159,158,0,1,1.0,0.9937106918238994,0.9968454258675079,-0.0028268606645570457,0.004368164738697846
4,180,179,1,1,0.9944444444444445,0.9944444444444445,0.9944444444444445,-0.0046695549608938855,0.004751335819827936
5,122,121,2,1,0.983739837398374,0.9918032786885246,0.9877551020408164,-0.004399280388429972,0.003944103994189638
6,138,138,1,0,0.9928057553956835,1.0,0.996389891696751,-0.004872325731883807,0.004251656469357235
7,91,89,1,2,0.9888888888888889,0.978021978021978,0.9834254143646408,-0.004198833089887634,0.003751053047053656
8,75,74,1,1,0.9866666666666667,0.9866666666666667,0.9866666666666668,-0.004104308391892083,0.0046921926021789885
9,89,88,0,1,1.0,0.9887640449438202,0.9943502824858756,-0.00503839412499982,0.004322119852673451
10,62,60,2,2,0.967741935483871,0.967741935483871,0.967741935483871,-0.004321617566666765,0.004852807836771583
11,84,84,0,0,1.0,1.0,1.0,-0.004952758880952278,0.003976880226939718
12,59,58,1,1,0.9830508474576272,0.9830508474576272,0.9830508474576272,-0.004138712931034474,0.005057518886730362
13,86,86,0,0,1.0,1.0,1.0,-0.0034828350348837466,0.0044379021334492045
14,78,76,1,2,0.987012987012987,0.9743589743589743,0.9806451612903225,-0.005258980750000189,0.004218201652077443
15,77,77,0,0,1.0,1.0,1.0,-0.004594634376623483,0.004116428900851766
16,170,168,1,2,0.9940828402366864,0.9882352941176471,0.9911504424778761,-0.003772405773809707,0.005251302832139167
17,101,100,0,1,1.0,0.9900990099009901,0.9950248756218906,-0.004991156459999808,0.004594348179472161
18,68,68,1,0,0.9855072463768116,1.0,0.9927007299270074,-0.002507002808823198,0.006006350844174165
19,197,197,0,0,1.0,1.0,1.0,-0.003575745020304589,0.004174712789551903
20,185,184,2,1,0.989247311827957,0.9945945945945946,0.9919137466307278,-0.0038100167717391273,0.004446303272488177
21,191,190,2,1,0.9895833333333334,0.9947643979057592,0.9921671018276764,-0.004471655331578682,0.004809286485483292
22,263,261,2,2,0.9923954372623575,0.9923954372623575,0.9923954372623575,-0.004981798544061274,0.004218654584509281
23,175,166,8,9,0.9540229885057471,0.9485714285714286,0.9512893982808024,-0.005701445240964067,0.005691775084196217
24,187,182,2,5,0.9891304347826086,0.9732620320855615,0.981132075471698,-0.006735690648351273,0.005151786708357448
25,123,118,6,5,0.9516129032258065,0.959349593495935,0.9554655870445343,-0.006051731466101853,0.004213203050805937
26,230,225,3,5,0.9868421052631579,0.9782608695652174,0.982532751091703,-0.007228722577777632,0.005319120996835164
27,143,139,1,4,0.9928571428571429,0.972027972027972,0.9823321554770317,-0.007620026431654681,0.004936138670736895
28,154,150,5,4,0.967741935483871,0.974025974025974,0.970873786407767,-0.005881481506666428,0.005872263792991022
29,284,278,2,6,0.9928571428571429,0.9788732394366197,0.9858156028368794,-0.004393791118705222,0.006089446673476818
30,235,232,4,3,0.9830508474576272,0.9872340425531915,0.9851380042462844,-0.007176088806034302,0.0043305176166925285
31,214,203,8,11,0.9620853080568721,0.9485981308411215,0.9552941176470588,-0.0053197502857140954,0.00659646217900675
