,num_annotations,num_tp,num_fp,num_fn,precision,recall,fmeasure,mean_error,std_error
0,95,94,13,1,0.8785046728971962,0.9894736842105263,0.9306930693069306,-0.00021131854255316605,0.0036105926258440234
1,153,151,8,2,0.949685534591195,0.9869281045751634,0.9679487179487181,-0.00047814270860950406,0.004225364583652012
2,126,123,7,3,0.9461538461538461,0.9761904761904762,0.9609375,0.000371660829268155,0.004434934943769827
3,159,156,5,3,0.968944099378882,0.9811320754716981,0.975,-8.881326282048431e-05,0.004289382780597236
4,180,175,6,5,0.9668508287292817,0.9722222222222222,0.9695290858725762,-0.00296430190285714,0.005087075614953972
5,122,121,5,1,0.9603174603174603,0.9918032786885246,0.9758064516129032,-0.001961357561983811,0.004677285828132015
6,138,135,8,3,0.9440559440559441,0.9782608695652174,0.9608540925266904,-0.002173847311110927,0.003990519119394688
7,91,91,6,0,0.9381443298969072,1.0,0.9680851063829787,-0.0015870523956045097,0.004475895023678043
8,75,74,9,1,0.891566265060241,0.9866666666666667,0.9367088607594936,-0.002077281364865087,0.005453914201018539
9,89,89,4,0,0.956989247311828,1.0,0.978021978021978,-0.0024688526853931542,0.004556748497559803
10,62,60,7,2,0.8955223880597015,0.967741935483871,0.930232558139535,-0.000770975083333351,0.0051216838748744595
11,84,84,8,0,0.9130434782608695,1.0,0.9545454545454545,-0.0037622826904760895,0.004768718293478176
12,59,58,7,1,0.8923076923076924,0.9830508474576272,0.9354838709677421,-0.0017249198275861577,0.004606102715336964
13,86,86,7,0,0.9247311827956989,1.0,0.9608938547486032,-0.001971207127907019,0.005854076100248545
14,78,77,6,1,0.927710843373494,0.9871794871794872,0.9565217391304347,-0.0025994639870131867,0.0037532602902396756
15,77,77,6,0,0.927710843373494,1.0,0.9625,-0.0027764525584417004,0.0048764571473735065
16,170,168,7,2,0.96,0.9882352941176471,0.9739130434782609,-0.0018545513273811863,0.004829934596172267
17,101,101,8,0,0.926605504587156,1.0,0.9619047619047619,-0.0021155789009897974,0.004403224277712195
18,68,68,60,0,0.53125,1.0,0.6938775510204082,-0.0010364145735292684,0.006375492333631245
19,197,196,2,1,0.98989898989899,0.9949238578680203,0.9924050632911392,-0.0021755981326531185,0.004747353853986602
20,185,183,6,2,0.9682539682539683,0.9891891891891892,0.9786096256684492,-0.002670904437158354,0.004828242785068683
21,191,187,8,4,0.958974358974359,0.9790575916230366,0.9689119170984456,-0.0028983714759355434,0.004218643273688814
22,263,221,7,42,0.9692982456140351,0.8403041825095057,0.90020366598778,-0.00299760922171967,0.00431144079026364
23,175,167,16,8,0.912568306010929,0.9542857142857143,0.9329608938547486,-0.0012335872514973728,0.005915536338281159
24,187,183,5,4,0.973404255319149,0.9786096256684492,0.9760000000000001,-0.0019264463934422194,0.006155077690559989
25,123,122,13,1,0.9037037037037037,0.991869918699187,0.945736434108527,-0.0015854429590164598,0.005681564003348149
26,230,217,10,13,0.9559471365638766,0.9434782608695652,0.949671772428884,-0.0037751444470043526,0.005433856973147363
27,143,141,8,2,0.9463087248322147,0.986013986013986,0.9657534246575343,-0.00361380487234026,0.006461802818415654
28,154,152,14,2,0.9156626506024096,0.987012987012987,0.95,-0.0015045053289472505,0.005513508004441134
29,284,245,6,39,0.9760956175298805,0.8626760563380281,0.9158878504672898,-0.0028312277714287446,0.006454493859747047
30,235,223,9,12,0.9612068965517241,0.948936170212766,0.9550321199143469,-0.0038826352376681423,0.005574519142616829
31,214,202,10,12,0.9528301886792453,0.9439252336448598,0.948356807511737,-0.003365775405940533,0.0057746726079806335
