,num_annotations,num_tp,num_fp,num_fn,precision,recall,fmeasure,mean_error,std_error
0,95,95,9,0,0.9134615384615384,1.0,0.9547738693467337,-0.0018169232315790578,0.003596078542399514
1,153,153,56,0,0.7320574162679426,1.0,0.845303867403315,-0.0016796348366016104,0.004072735568717497
2,126,125,29,1,0.8116883116883117,0.9920634920634921,0.8928571428571428,-0.0015377778080000741,0.0046280101862856944
3,159,158,23,1,0.8729281767955801,0.9937106918238994,0.9294117647058823,-0.0015610378797467973,0.004486504328381248
4,180,180,11,0,0.9424083769633508,1.0,0.9703504043126685,-0.0041710758277776795,0.0048290777334636
5,122,122,7,0,0.9457364341085271,1.0,0.9721115537848606,-0.003721423008196967,0.003902992361849348
6,138,138,8,0,0.9452054794520548,1.0,0.971830985915493,-0.004147688050724435,0.0038342179402817583
7,91,90,8,1,0.9183673469387755,0.989010989010989,0.9523809523809524,-0.0033799445666667653,0.004026890500732427
8,75,75,7,0,0.9146341463414634,1.0,0.9554140127388536,-0.003084202573333563,0.004929898504224123
9,89,89,2,0,0.978021978021978,1.0,0.9888888888888888,-0.004154245943819985,0.003847280006704949
10,62,61,6,1,0.9104477611940298,0.9838709677419355,0.9457364341085271,-0.003114382393442713,0.0053246147991754525
11,84,84,4,0,0.9545454545454546,1.0,0.9767441860465117,-0.003762282690476129,0.004483366015531142
12,59,59,2,0,0.9672131147540983,1.0,0.9833333333333333,-0.002822168389830502,0.005710778793023154
13,86,86,6,0,0.9347826086956522,1.0,0.9662921348314606,-0.0034828350348837466,0.0044379021334492045
14,78,77,2,1,0.9746835443037974,0.9871794871794872,0.980891719745223,-0.004287775675324911,0.00407907507974993
15,77,77,4,0,0.9506172839506173,1.0,0.9746835443037974,-0.004075153857142974,0.0042906450644573735
16,170,169,7,1,0.9602272727272727,0.9941176470588236,0.976878612716763,-0.0031556843491126084,0.004952943290783662
17,101,101,4,0,0.9619047619047619,1.0,0.9805825242718447,-0.0038977571188117217,0.00467107961788536
18,68,68,4,0,0.9444444444444444,1.0,0.9714285714285714,-0.0020658263382348414,0.005897090915314621
19,197,197,12,0,0.9425837320574163,1.0,0.9704433497536945,-0.002915846543147261,0.004416758129439857
20,185,185,6,0,0.9685863874345549,1.0,0.9840425531914894,-0.003530183254053985,0.004492643310603593
21,191,190,10,1,0.95,0.9947643979057592,0.9718670076726342,-0.0037874448052628365,0.0042926606598298386
22,263,261,10,2,0.9630996309963099,0.9923954372623575,0.9775280898876405,-0.0039856299616858335,0.00417039940794289
23,175,170,10,5,0.9444444444444444,0.9714285714285714,0.9577464788732395,-0.004327330941176866,0.00555160299757134
24,187,187,7,0,0.9639175257731959,1.0,0.9816272965879265,-0.005242339401069164,0.004375920676634051
25,123,123,10,0,0.924812030075188,1.0,0.9609375000000001,-0.004995852040650547,0.004604544630209552
26,230,228,5,2,0.9785407725321889,0.991304347826087,0.9848812095032398,-0.005708318394736607,0.004890540066518118
27,143,142,5,1,0.9659863945578231,0.993006993006993,0.979310344827586,-0.006307847091549331,0.005293912942901773
28,154,153,8,1,0.9503105590062112,0.9935064935064936,0.9714285714285714,-0.0038889630130715834,0.005097142766568972
29,284,281,7,3,0.9756944444444444,0.9894366197183099,0.9825174825174826,-0.0034088653523134498,0.006337792571549575
30,235,233,6,2,0.9748953974895398,0.9914893617021276,0.9831223628691984,-0.005962745592274593,0.004049831857268287
31,214,203,12,11,0.9441860465116279,0.9485981308411215,0.9463869463869464,-0.004285267527093567,0.006176894678051841
