,num_annotations,num_tp,num_fp,num_fn,precision,recall,fmeasure,mean_error,std_error
0,323,191,30,132,0.8642533936651584,0.5913312693498453,0.7022058823529412,-0.0015706806282722353,0.007063213383891101
1,645,363,8,282,0.9784366576819407,0.5627906976744186,0.7145669291338583,-0.000330578512396741,0.005787878132281126
2,505,353,14,152,0.9618528610354223,0.699009900990099,0.8096330275229358,-0.002946175637393688,0.005716626844978655
3,640,452,7,188,0.9847494553376906,0.70625,0.8225659690627842,-0.0016814159292035712,0.005305307889317481
4,719,345,8,374,0.9773371104815864,0.47983310152990266,0.6436567164179104,-0.002057971014492798,0.005447733361845828
5,501,320,7,181,0.9785932721712538,0.6387225548902196,0.7729468599033816,-0.004031250000000033,0.005782432311536424
6,562,322,11,240,0.9669669669669669,0.5729537366548043,0.7195530726256983,-0.0025155279503104025,0.005590148377525962
7,366,191,13,175,0.9362745098039216,0.5218579234972678,0.6701754385964913,-0.003821989528795844,0.006830002968110122
8,296,236,11,60,0.9554655870445344,0.7972972972972973,0.8692449355432781,-0.0023305084745763004,0.005901098841577005
9,355,206,4,149,0.9809523809523809,0.5802816901408451,0.7292035398230088,-0.0018446601941747567,0.005441225735612441
10,234,170,16,64,0.9139784946236559,0.7264957264957265,0.8095238095238095,-0.0022941176470588557,0.00563878069717779
11,335,171,6,164,0.9661016949152542,0.5104477611940299,0.6679687500000001,-0.002105263157894835,0.005744107208331586
12,251,241,16,10,0.9377431906614786,0.9601593625498008,0.9488188976377954,-0.002738589211618277,0.006439160250503878
13,349,292,4,57,0.9864864864864865,0.836676217765043,0.9054263565891473,-0.0009589041095890732,0.005277085009385784
14,301,249,5,52,0.9803149606299213,0.8272425249169435,0.8972972972972973,-0.0015662650602409046,0.004945143504809176
15,311,186,5,125,0.9738219895287958,0.5980707395498392,0.7410358565737052,-0.0020967741935483293,0.005227233311111691
16,620,287,13,333,0.9566666666666667,0.4629032258064516,0.6239130434782609,-0.002439024390243992,0.006382872041187911
17,403,235,5,168,0.9791666666666666,0.5831265508684863,0.7309486780715396,-0.00025531914893608823,0.005373172465587965
18,296,212,40,84,0.8412698412698413,0.7162162162162162,0.7737226277372262,-0.0005188679245283003,0.00608234551964083
19,767,432,5,335,0.988558352402746,0.5632333767926988,0.717607973421927,-0.0010185185185186156,0.005642073235771176
20,725,326,8,399,0.9760479041916168,0.4496551724137931,0.615675165250236,-0.00046012269938651776,0.004963357016010508
21,778,485,10,293,0.9797979797979798,0.6233933161953727,0.7619795758051846,-0.003484536082474164,0.006487280818158456
22,1045,520,17,525,0.9683426443202979,0.49760765550239233,0.6573957016434891,-0.004500000000000121,0.006544228226225223
23,694,362,19,332,0.9501312335958005,0.521613832853026,0.6734883720930233,-0.003259668508287309,0.00598192285098069
24,722,355,13,367,0.9646739130434783,0.4916897506925208,0.6513761467889908,-0.0028169014084506215,0.006231021572370679
25,497,297,14,200,0.954983922829582,0.5975855130784709,0.7351485148514852,-0.004545454545454493,0.005614926104924042
26,873,306,10,567,0.9683544303797469,0.35051546391752575,0.5147182506307822,-0.0021241830065359545,0.006447191475929109
27,536,286,12,250,0.959731543624161,0.5335820895522388,0.6858513189448441,-0.003251748251748356,0.005443888639294777
28,591,322,11,269,0.9669669669669669,0.544839255499154,0.696969696969697,-0.0027950310559006065,0.005760346362539896
29,1052,374,4,678,0.9894179894179894,0.35551330798479086,0.523076923076923,-0.0036631016042779807,0.006265419652998313
30,857,400,10,457,0.975609756097561,0.46674445740956827,0.6314127861089187,-0.0032500000000000263,0.0058683472971526075
31,769,416,15,353,0.9651972157772621,0.540962288686606,0.6933333333333334,-0.003894230769230841,0.0062194148086560765
