,num_annotations,num_tp,num_fp,num_fn,precision,recall,fmeasure,mean_error,std_error
0,323,317,78,6,0.8025316455696202,0.9814241486068112,0.883008356545961,-0.00025236593059939664,0.005610886985316378
1,645,630,27,15,0.958904109589041,0.9767441860465116,0.967741935483871,0.0006666666666666764,0.004800793585191776
2,505,494,36,11,0.9320754716981132,0.9782178217821782,0.9545893719806763,4.0485829959478696e-05,0.004887228312007193
3,640,625,34,15,0.9484066767830045,0.9765625,0.9622786759045419,0.0005120000000000115,0.004839199933873392
4,719,703,29,16,0.9603825136612022,0.9777468706536857,0.9689869055823571,0.00048364153627313304,0.004655341824973802
5,501,491,24,10,0.9533980582524272,0.9800399201596807,0.9665354330708662,-2.0366598778029415e-05,0.004839542725956502
6,562,549,18,13,0.9682539682539683,0.9768683274021353,0.9725420726306465,-0.0002732240437158533,0.004686728227845151
7,366,347,29,19,0.9228723404255319,0.9480874316939891,0.9353099730458221,0.0001440922190201436,0.004888613892481978
8,296,278,24,18,0.9205298013245033,0.9391891891891891,0.9297658862876255,-0.0002158273381294926,0.005084554959448808
9,355,350,19,5,0.948509485094851,0.9859154929577465,0.9668508287292817,0.00048571428571433944,0.0043482109856249965
10,234,231,32,3,0.8783269961977186,0.9871794871794872,0.9295774647887325,8.658008658004629e-05,0.004054962433713133
11,335,330,16,5,0.953757225433526,0.9850746268656716,0.9691629955947136,0.00048484848484847383,0.004377083657034714
12,251,245,18,6,0.9315589353612167,0.9760956175298805,0.9533073929961089,-0.0004897959183673238,0.005548018395933488
13,349,347,6,2,0.9830028328611898,0.994269340974212,0.9886039886039888,0.0001152737752160994,0.00363912023799743
14,301,296,25,5,0.9221183800623053,0.9833887043189369,0.9517684887459807,-0.0003716216216216467,0.004598443340319369
15,311,308,8,3,0.9746835443037974,0.9903536977491961,0.9824561403508772,-6.493506493499579e-05,0.004834501713099865
16,620,607,66,13,0.9019316493313522,0.9790322580645161,0.9389017788089714,0.0003294892915980263,0.004859492339923803
17,403,395,20,8,0.9518072289156626,0.9801488833746899,0.9657701711491442,0.0005569620253165034,0.004687032570295697
18,296,291,185,5,0.6113445378151261,0.9831081081081081,0.7538860103626943,-0.0001374570446735549,0.005040898612893925
19,767,759,31,8,0.9607594936708861,0.9895697522816167,0.9749518304431599,9.222661396582434e-05,0.0048008486482195994
20,725,715,35,10,0.9533333333333334,0.9862068965517241,0.9694915254237289,0.0003356643356642943,0.004567970056029901
21,778,763,36,15,0.9549436795994993,0.980719794344473,0.9676601141407735,-0.00011795543905627802,0.004760225113690491
22,1045,974,68,71,0.9347408829174664,0.9320574162679426,0.9333972208912313,-0.00016427104722791642,0.005711557200938366
23,694,666,43,28,0.9393511988716502,0.9596541786743515,0.9493941553813257,-0.0003453453453452863,0.004780555361610196
24,722,694,33,28,0.9546079779917469,0.961218836565097,0.9579020013802623,0.00033141210374632246,0.004744749140224077
25,497,445,34,52,0.9290187891440501,0.8953722334004024,0.9118852459016394,0.0004269662921348085,0.005196990573527742
26,873,818,68,55,0.9232505643340858,0.9369988545246277,0.9300739056281978,0.0006356968215159277,0.0051942037533967735
27,536,503,31,33,0.9419475655430711,0.9384328358208955,0.9401869158878504,0.0005765407554670923,0.004991603920946274
28,591,562,35,29,0.9413735343383585,0.9509306260575296,0.9461279461279462,0.0006049822064056794,0.00546654432436231
29,1052,1019,68,33,0.937442502299908,0.9686311787072244,0.9527816736792893,0.0007850834151128845,0.0052017145648376745
30,857,822,78,35,0.9133333333333333,0.9591598599766628,0.935685828116107,0.0005352798053528315,0.005216070628827992
31,769,739,67,30,0.9168734491315137,0.9609882964889467,0.9384126984126985,0.0007983761840326392,0.004966594503548766
