,num_annotations,num_tp,num_fp,num_fn,precision,recall,fmeasure,mean_error,std_error
0,86,86,13,0,0.8686868686868687,1.0,0.9297297297297298,0.00410584883720927,0.004256202056090488
1,151,151,5,0,0.967948717948718,1.0,0.9837133550488599,0.0038599933774836554,0.003369948307612742
2,124,124,7,0,0.9465648854961832,1.0,0.9725490196078431,0.004087120967741799,0.003517289536984321
3,154,154,5,0,0.9685534591194969,1.0,0.9840255591054313,0.004884253246753441,0.0037302372901814717
4,179,173,3,6,0.9829545454545454,0.9664804469273743,0.9746478873239436,0.0041594913294797226,0.003721793219693234
5,118,118,4,0,0.9672131147540983,1.0,0.9833333333333333,0.004349491525423753,0.0036560577748879974
6,132,132,9,0,0.9361702127659575,1.0,0.967032967032967,0.003675007575757369,0.003520620977629487
7,140,132,1,8,0.9924812030075187,0.9428571428571428,0.967032967032967,0.004573090909091016,0.005028746469284398
8,117,107,3,10,0.9727272727272728,0.9145299145299145,0.9427312775330396,0.003199177570093366,0.0059954464322298975
9,136,117,2,19,0.9831932773109243,0.8602941176470589,0.9176470588235294,0.005149136752136718,0.004982381932859587
10,55,55,6,0,0.9016393442622951,1.0,0.9482758620689655,0.0053634181818181985,0.003719401441047949
11,128,110,1,18,0.990990990990991,0.859375,0.9205020920502092,0.004887827272727377,0.005739598503315331
12,53,53,8,0,0.8688524590163934,1.0,0.9298245614035088,0.006055679245283304,0.0032989796236857984
13,130,100,5,30,0.9523809523809523,0.7692307692307693,0.8510638297872339,0.005135189999999944,0.004394545218096964
14,74,74,5,0,0.9367088607594937,1.0,0.9673202614379084,0.0053379594594594555,0.003673908234370282
15,118,110,2,8,0.9821428571428571,0.9322033898305084,0.9565217391304348,0.004324845454545532,0.004617832461204288
16,165,165,10,0,0.9428571428571428,1.0,0.9705882352941176,0.00444579393939398,0.004105411811177631
17,98,98,7,0,0.9333333333333333,1.0,0.9655172413793104,0.004782255102040962,0.004143778735699169
18,66,66,6,0,0.9166666666666666,1.0,0.9565217391304348,0.0028362121212122454,0.004627138829004831
19,192,187,6,5,0.9689119170984456,0.9739583333333334,0.9714285714285714,0.004943310160428158,0.00408019706586732
20,177,176,12,1,0.9361702127659575,0.9943502824858758,0.9643835616438357,0.00479063636363665,0.003904041462736869
21,187,178,10,9,0.9468085106382979,0.9518716577540107,0.9493333333333333,0.004229797752808819,0.003654569210782004
22,255,194,10,61,0.9509803921568627,0.7607843137254902,0.8453159041394336,0.005240536082474101,0.004023703068408369
23,165,165,17,0,0.9065934065934066,1.0,0.9510086455331412,0.003969848484848422,0.003918069401841767
24,179,177,9,2,0.9516129032258065,0.9888268156424581,0.9698630136986301,0.004729203389830431,0.004004888238196119
25,121,121,7,0,0.9453125,1.0,0.9718875502008032,0.004858818181818079,0.003505847684008907
26,222,206,10,16,0.9537037037037037,0.9279279279279279,0.9406392694063928,0.004796242718446318,0.004200522643084845
27,138,138,13,0,0.9139072847682119,1.0,0.9550173010380623,0.004350130434782343,0.004475426257451249
28,148,147,11,1,0.930379746835443,0.9932432432432432,0.9607843137254902,0.004255952380952299,0.005123089216496677
29,276,193,8,83,0.9601990049751243,0.6992753623188406,0.8092243186582809,0.004779181347149966,0.0039587705336502155
30,229,199,10,30,0.9521531100478469,0.868995633187773,0.908675799086758,0.0043314371859297625,0.004229552949851835
31,210,189,11,21,0.945,0.9,0.921951219512195,0.003643973544973402,0.004044870421184314
