,num_annotations,num_tp,num_fp,num_fn,precision,recall,fmeasure,mean_error,std_error
0,286,285,18,1,0.9405940594059405,0.9965034965034965,0.967741935483871,0.0003383060912281494,0.003509301072891372
1,454,452,42,2,0.9149797570850202,0.9955947136563876,0.9535864978902954,0.0005973953075221814,0.0037612772144793504
2,369,366,21,3,0.9457364341085271,0.991869918699187,0.9682539682539683,0.0005421731502730972,0.003861451185575597
3,466,465,24,1,0.950920245398773,0.9978540772532188,0.9738219895287957,0.0008112549763440825,0.003842709095039038
4,519,519,37,0,0.9334532374100719,1.0,0.9655813953488372,0.001318294830443284,0.00360341590643224
5,356,356,27,0,0.9295039164490861,1.0,0.9634641407307172,0.0008332696348315966,0.0035148134231202982
6,408,408,20,0,0.9532710280373832,1.0,0.9760765550239235,0.0008905228872552381,0.0035170642803022704
7,233,232,50,1,0.8226950354609929,0.9957081545064378,0.9009708737864077,0.0008456486120689561,0.0036794670730601665
8,192,192,31,0,0.8609865470852018,1.0,0.9253012048192771,0.0007710931562498464,0.003715003966891002
9,222,221,25,1,0.8983739837398373,0.9954954954954955,0.9444444444444445,0.0010071720723981473,0.003316041273775274
10,180,180,21,0,0.8955223880597015,1.0,0.9448818897637796,0.0003848576500001448,0.003406106892616159
11,209,209,38,0,0.8461538461538461,1.0,0.9166666666666666,0.0006686629952153469,0.0035193382989363335
12,179,179,11,0,0.9421052631578948,1.0,0.970189701897019,0.0006463219050280438,0.003907461727812043
13,212,212,48,0,0.8153846153846154,1.0,0.8983050847457628,0.0005453942122641076,0.0034542559243714932
14,222,222,16,0,0.9327731092436975,1.0,0.9652173913043478,0.0015329615540541713,0.0037655347411093077
15,199,198,49,1,0.8016194331983806,0.9949748743718593,0.8878923766816144,7.386794949500625e-05,0.004092508065649391
16,497,496,30,1,0.9429657794676806,0.9979879275653923,0.9696969696969696,0.0013348054193548621,0.003559379258992671
17,299,299,18,0,0.943217665615142,1.0,0.9707792207792209,0.0012627124481605061,0.003679507758616798
18,285,284,29,1,0.9073482428115016,0.9964912280701754,0.9498327759197324,0.0001643990880279454,0.004020953194932428
19,573,572,31,1,0.9485903814262023,0.9982547993019197,0.9727891156462586,0.0010466121206295,0.003875147490738515
20,531,531,43,0,0.9250871080139372,1.0,0.9610859728506786,0.0011933160094162443,0.003628598081823576
21,571,571,30,0,0.9500831946755408,1.0,0.9744027303754267,0.0010687380577935714,0.0039614916895103335
22,765,765,56,0,0.9317904993909866,1.0,0.9646910466582597,0.0008543862000000308,0.003649942772676199
23,530,530,32,0,0.9430604982206405,1.0,0.9706959706959707,0.0011160312999999723,0.003673372467439773
24,547,547,30,0,0.9480069324090121,1.0,0.9733096085409253,0.0012101050127972565,0.0038524636788392404
25,364,363,28,1,0.928388746803069,0.9972527472527473,0.9615894039735098,0.0015927987438016159,0.0038550716150364613
26,687,685,36,2,0.9500693481276006,0.9970887918486172,0.9730113636363638,0.0010131585416056123,0.0034882613100354278
27,432,432,23,0,0.9494505494505494,1.0,0.9740698985343855,0.0012146216481482613,0.0038098837673204346
28,454,453,24,1,0.949685534591195,0.9977973568281938,0.9731471535982813,0.0008226337174394141,0.003919556524552823
29,810,809,58,1,0.9331026528258363,0.9987654320987654,0.9648181276088252,0.0010145500222497258,0.003891270328920281
30,681,679,54,2,0.9263301500682128,0.9970631424375918,0.9603960396039605,0.0010719378600884265,0.003793413713738941
31,643,643,24,0,0.9640179910044977,1.0,0.981679389312977,0.0013320144012441543,0.0034239251455867228
